C190	L0	Certified microkernel RTOS for robot controllers	BlackBerry QNX	QNX Neutrino RTOS 8.0	https://en.wikipedia.org/wiki/Comparison_of_real-time_operating_systems	POSIX microkernel, dominant in automotive/robotics safety
C191	L0	Hard real-time OS for industrial controllers	Wind River	VxWorks	https://en.wikipedia.org/wiki/Comparison_of_real-time_operating_systems	Proprietary; aerospace and industrial robot arms
C193	L0	Minimal kernel for motor and sensor MCUs	Amazon / OSS	FreeRTOS	https://en.wikipedia.org/wiki/Comparison_of_real-time_operating_systems	MIT licensed
C195	L0	Separation-kernel RTOS for certified systems	Green Hills Software	INTEGRITY-178 tuMP	https://en.wikipedia.org/wiki/Comparison_of_real-time_operating_systems	Time/space partitioning
C198	L0	Deterministic fieldbus for servo drives	EtherCAT Technology Group	EtherCAT	https://www.ethercat.org/en/technology.html	Distributed clocks, cycle times under 100 us
C201	L0	Time-scheduled deterministic Ethernet	IEEE	TSN 802.1AS / 802.1Qbv / 802.1Qbu	https://en.wikipedia.org/wiki/Time-Sensitive_Networking	Time sync plus traffic shaping
C202	L0	CAN device profile for drives and motion	CAN in Automation	CANopen CiA 402 drive profile	https://www.can-cia.org/canopen	Standard servo drive state machine
C203	L0	Isochronous industrial Ethernet for cells	PROFIBUS and PROFINET International	PROFINET IRT	https://www.profibus.com/technology/profinet	Isochronous real-time class
C205	L0	Real-time component framework for robots	OSS	OROCOS Real-Time Toolkit	https://orocos.org/	Pre-ROS real-time component model
C206	L0	Real-time CNC motion control on Linux	OSS	LinuxCNC	https://linuxcnc.org/	HAL plus stepgen realtime threads
C207	L0	FPGA motor control loop IP and kit	AMD	Kria KD240 Drives Starter Kit	https://www.amd.com/en/products/system-on-modules/kria/k24/kd240-drives-starter-kit.html	FOC, PWM, encoder interface in PL
C208	L0	Lockstep safety co-processor MCU	Infineon	AURIX TC4x	https://www.infineon.com/cms/en/product/microcontroller/32-bit-tricore-microcontroller/	ASIL-D lockstep cores for safety island
C209	L0	Static partitioning hypervisor for mixed criticality	Siemens / OSS	Jailhouse	https://github.com/siemens/jailhouse	Bare-metal partitioning, no scheduler
C210	L0	Type-1 hypervisor for mixed-criticality SoCs	Xen Project	Xen on Arm	https://xenproject.org/	Dom0-less real-time configurations
C211	L0	Safety-certified hypervisor for robot SoCs	BlackBerry QNX	QNX Hypervisor for Safety	https://blackberry.qnx.com/en/products/foundation-software/qnx-hypervisor	Guest isolation with certified host
C212	L4	Cloud fleet observability and teleoperation	Formant	Formant Platform	https://formant.ai/	Data platform, video, remote intervention
C213	L4	AMR fleet operations and interoperability	InOrbit	InOrbit RobOps Platform	https://github.com/Airbotics/awesome-cloud-robotics	Focused on autonomous mobile robot fleets
C214	L4	Robot monitoring and remote control SaaS	Freedom Robotics	Freedom Robotics	https://github.com/Airbotics/awesome-cloud-robotics	Self-serve ROS 1 / ROS 2 agent
C216	L4	Full-stack robot capability streaming	Transitive Robotics	Transitive	https://transitiverobotics.com/	Open-core video streaming and config management
C218	L4	Robust OTA update for embedded Linux	Northern.tech	Mender	https://mender.io/	A/B partition updates with server
C219	L4	Atomic A/B system update framework	Pengutronix / OSS	RAUC	https://rauc.io/	Yocto meta-rauc layer
