C001	partial	Ryzen AI Embedded X100 plus Kria AI SoM Robotics Developer Platform	med	1	3	3	2	No single shipping robot-brain SoC with an integrated safety island at Thor class	Humanoid and AMR OEMs choosing a 2026 compute platform	Publish X100 plus Kria FuSa roadmap and firm dev-kit GA dates against Thor	https://www.cnx-software.com/2026/07/24/amd-launches-ryzen-ai-embedded-x100-processors-kria-ai-som-and-physical-ai-robotics-developer-platform/
C002	partial	Ubuntu plus ROCm on X100 and PetaLinux/Yocto on Kria	med	3	2	3	2	No unified robotics BSP bundling RT preempt kernel secure boot and OTA in one supported image	Robot integrators who must assemble kernel security and update stack themselves	Ship one versioned robotics BSP image for X100 plus Kria with RT kernel and OTA	https://www.cnx-software.com/2022/05/18/349-amd-kria-kr260-robotics-starter-kit-takes-on-nvidia-jetson-agx-xavier-devkit/
C003	partial	Kria FPGA paired with X100 in the AMD Robotics Developer Platform	low	2	3	2	1	No documented FPGA-to-GPU-memory direct sensor ingest path equivalent to Holoscan Sensor Bridge	Multi-camera and lidar rigs needing deterministic low-latency ingest	Document and benchmark a Kria PL to Radeon iGPU zero-copy sensor ingest reference design	https://www.cnx-software.com/2026/07/24/amd-launches-ryzen-ai-embedded-x100-processors-kria-ai-som-and-physical-ai-robotics-developer-platform/
C004	n/a	-	high	-	-	-	-	-	-	-	https://nvidia-isaac-ros.github.io/repositories_and_packages/index.html
C005	n/a	-	high	-	-	-	-	-	-	-	https://github.com/orgs/NVIDIA-ISAAC-ROS/repositories?type=all
C006	none	-	med	2	2	3	2	No AMD-validated humanoid whole-body control library or reference policy stack	Humanoid developers evaluating ROCm as the training and deployment target	Validate one open WBC stack end to end on ROCm and publish the recipe and rates	https://developer.nvidia.com/isaac/gr00t
C007	native	ROCm and HIP	high	-	-	-	-	-	-	-	https://en.wikipedia.org/wiki/ROCm
C008	native	MIOpen	high	-	-	-	-	-	-	-	https://en.wikipedia.org/wiki/ROCm
C009	partial	MIGraphX plus ONNX Runtime MIGraphX and Vitis AI execution providers	high	3	3	3	3	No single edge inference optimizer spanning Ryzen AI NPU Radeon iGPU and Kria FPGA	Robot perception teams forced to maintain three separate compile paths	Unify NPU iGPU and FPGA behind one ONNX Runtime edge profile with published latency	https://onnxruntime.ai/docs/execution-providers/MIGraphX-ExecutionProvider.html
C010	partial	Lemonade Server plus llama.cpp and MLC-LLM on ROCm and Ryzen AI	med	3	3	3	2	No AMD-supported C++ edge VLM runtime targeted at closed-loop robot control rates	VLA and VLM policy developers needing bounded per-step latency on embedded AMD parts	Turn Lemonade into a supported C++ embeddable runtime with robot-loop latency SLAs	https://rocm.blogs.amd.com/blog/author.html
C011	partial	Triton Inference Server with vLLM and ONNX Runtime backends on ROCm	med	2	3	2	3	Multi-framework serving on AMD is datacenter-only with no embedded robot target	Fleet and edge serving teams deploying models onto robot compute	Publish a Triton or vLLM serving image validated on X100 and Kria class hardware	https://rocm.blogs.amd.com/blog/2025.html
C012	native	AMD ROS 2 Perception Node with upstream ROS 2 type adaptation on ROCm	med	-	-	-	-	-	-	-	https://newsroom.amd.com/news/aai-2026-robotics-partner-network/
C013	none	-	low	2	2	2	1	No cross-process or cross-container GPU-memory handle bridge for non-accelerated ROS 2 nodes	Teams mixing legacy ROS 2 nodes with accelerated AMD nodes across containers	Prototype a DMA-BUF handle bridge node so unaccelerated nodes avoid host copies	https://github.com/NVIDIA-ISAAC-ROS/isaac_ros_nitros
C014	none	-	med	2	2	1	3	No AMD accelerated component-graph runtime though NVIDIA is itself sun-setting GXF	Few - GXF is being removed from NITROS so downstream exposure is shrinking	Do not chase GXF - invest the effort in ROS 2 type adaptation instead	https://nvidia-isaac-ros.github.io/releases/index.html
C015	partial	AMD ROS 2 Perception Node accelerated application	med	3	3	3	2	No published family of ROS 2 inference nodes binding MIGraphX and Vitis AI with perf numbers	ROS 2 developers who need a drop-in accelerated inference node on AMD	Release ROS 2 inference nodes over ONNX Runtime EPs with a published benchmark table	https://www.crn.com/news/ai/2026/amd-advancing-ai-2026-top-news-on-ai-chips-cpus-robotics
C016	partial	Kria accelerated apps and Vitis Vision Library on PL	low	3	3	3	1	No ROCm-accelerated ROS 2 image preprocessing pipeline for rectify resize and color convert	Every camera-based ROS 2 stack on AMD falls back to CPU image_proc	Port image_proc rectify and resize to ROCm and publish per-node frame rates	https://www.cnx-software.com/2022/05/18/349-amd-kria-kr260-robotics-starter-kit-takes-on-nvidia-jetson-agx-xavier-devkit/
C017	partial	Kria MIPI CSI capture via PL with V4L2 and libcamera on KR260 and KV260	low	3	2	2	1	No first-party ROS 2 CSI camera driver publishing directly into an accelerated buffer	Robot builders wiring MIPI sensors into ROS 2 on Kria or X100	Ship a supported ROS 2 CSI driver node for the Kria robotics platform	https://www.cnx-software.com/2022/05/18/349-amd-kria-kr260-robotics-starter-kit-takes-on-nvidia-jetson-agx-xavier-devkit/
C018	none	-	low	1	2	1	1	No safety-certified automotive camera capture stack equivalent to SIPL	Automotive and safety-rated robot camera integrators	Scope whether Kria PL capture can be taken through a FuSa camera claim	https://github.com/orgs/NVIDIA-ISAAC-ROS/repositories?type=all
C019	none	-	low	3	3	2	1	No GPU or FPGA accelerated AprilTag fiducial detector on AMD - only CPU apriltag_ros	Warehouse docking calibration and marker-based localization users	Port AprilTag detection to HIP and publish fps versus the CPU baseline	https://developer.nvidia.com/isaac/ros
C020	community	ORB-SLAM3 and RTAB-Map running CPU-side on AMD hosts	low	3	3	3	1	No GPU-accelerated visual-inertial odometry or SLAM on ROCm	Mobile robots and drones needing high-rate odometry without a CPU budget blowout	Accelerate one open VIO front end on ROCm and publish accuracy and rate against cuVSLAM	https://developer.nvidia.com/isaac/ros
