C159	partial	Pi0 and Pi0.5 fine-tuning on MI300X plus edge inference on Ryzen AI GPUs via the LeRobot PyTorch port (ROCm edge-to-cloud robotics blog)	high	3	3	3	3	Upstream openpi JAX/CUDA training stack has no ROCm build so AMD users can only reach pi0 through the LeRobot re-implementation	Teams wanting to reproduce or pretrain pi0/pi05 from the official Physical Intelligence repo on AMD silicon	Publish a ROCm-tested openpi container and upstream a ROCm install path plus CI job to Physical-Intelligence/openpi	corpus:rocmblogsamdcom-3f0bd016ae.txt
C160	partial	SmolVLA training and inference on ROCm through LeRobot on MI300X and Ryzen AI (AMD ROCm blog, AMD Open Robotics Hackathon)	high	3	3	3	3	No AMD GPU in upstream LeRobot CI so ROCm-only breakages ship unnoticed (uint8 bilinear interpolate NotImplementedError in SmolVLA resize_with_pad)	Every SmolVLA user on Radeon or Instinct hitting silent ROCm-only regressions between releases	Donate a gfx942 and gfx1100 runner to huggingface/lerobot CI and gate policy tests on it	https://github.com/huggingface/lerobot/issues/4205
C161	partial	ACT policy training and inference on ROCm via LeRobot; independently replicated on Ryzen AI MAX+ 395 by the Datawhale Every Embodied project	high	3	2	3	3	No AMD-published ACT throughput or bimanual teleop reference bring-up, so AMD-vs-Jetson comparisons for ALOHA-class rigs are guesswork	Bimanual imitation-learning teams sizing AMD edge parts against Jetson for teleop data collection	Publish ACT train and inference Hz numbers for Ryzen AI MAX and MI300X alongside a reference bimanual arm bring-up guide	https://datawhalechina.github.io/hello-rocm/05-amd-yes/every-embodied
C162	community	Runs as stock PyTorch through the LeRobot diffusion policy implementation on ROCm; no AMD-published validation or perf reference	med	3	2	3	2	No AMD validation or latency reference for iterative denoising visuomotor policies where the multi-step denoise loop dominates control-loop latency	Manipulation teams needing real-time diffusion policy inference on AMD edge silicon	Add diffusion policy to the ROCm LeRobot example matrix with per-denoise-step latency numbers	https://github.com/huggingface/lerobot
C163	unknown	-	low	3	2	2	1	No documented ROCm build or smoke test for RDT-1B whose custom attention kernels are unverified on AMD	Bimanual diffusion-foundation-model users evaluating AMD for large open-weight policies	Run an RDT-1B inference smoke test on MI300X and publish the kernel and dependency gap list	https://www.roboticscenter.ai/state-of-robotics-2026
C165	unknown	-	low	2	2	2	2	RT-1-X TF/JAX checkpoints have no verified ROCm inference path and RT-2-X was never released at all	Researchers using RT-1-X as the small cross-embodiment baseline in AMD-based comparisons	Validate RT-1-X inference on TensorFlow-ROCm or convert the checkpoint to a PyTorch/LeRobot path and document it	https://www.roboticscenter.ai/vla-models/best-2026
C166	partial	MI300X plus LeRobot training pipeline exists, but AMD recipes are demonstrated only on small community LeRobot datasets, not on OXE-scale corpora	med	3	3	3	2	No AMD-validated recipe for RLDS-format Open X-Embodiment-scale cross-embodiment pretraining on ROCm	Teams that want to pretrain cross-embodiment VLAs on Instinct instead of renting A100/H100 capacity	Publish an OXE to LeRobotDataset conversion plus a multi-GPU MI300X pretraining reference on ROCm blogs	corpus:rocmblogsamdcom-3f0bd016ae.txt
C167	partial	TensorFlow-ROCm builds exist and are used in ROCm blog tutorials, but no robotics TFDS/RLDS ingest path is tested or documented	med	3	2	3	2	RLDS ingest is bound to tf.data and TFDS whose ROCm support is second-class next to the PyTorch path AMD actually invests in	Anyone consuming Open X-Embodiment or DROID RLDS shards on AMD hardware	Ship and test an rlds-to-LeRobotDataset converter in the ROCm robotics examples repo	https://rocm.blogs.amd.com/blog/author.html
C168	partial	Data itself is vendor-neutral and downloadable; AMD training path is LeRobot on ROCm but no DROID-specific ingest or finetune recipe is published	med	3	2	2	2	No AMD reference for consuming the DROID RLDS distribution or for Franka-platform data collection on AMD hosts	Labs standardising on DROID-style Franka teleop rigs while running AMD compute	Add a DROID subset finetune walkthrough to the ROCm robotics example set using the LeRobot converter	https://droid-dataset.github.io/
C169	n/a	-	high	-	-	-	-	-	-	-	https://github.com/OpenDriveLab/AgiBot-World
C172	n/a	-	high	-	-	-	-	-	-	-	https://github.com/open-rmf
C173	n/a	-	high	-	-	-	-	-	-	-	https://github.com/open-rmf/free_fleet
C174	partial	rosbag2 itself runs unmodified on AMD hosts, but AMD has no ROS 2 node exposing VCN hardware video encode for high-rate multi-camera recording	med	3	2	2	2	No AMD hardware-accelerated image encoder node for ROS 2 logging, where NVIDIA ships isaac_ros_h264_encoder for the same job	Fleets recording multi-camera bags on AMD edge boxes and paying CPU cost for compression	Wrap VA-API/AMF VCN encode in a ROS 2 image transport plugin usable as a rosbag2 recording front end	https://nvidia-isaac-ros.github.io/releases/index.html
C175	n/a	-	high	-	-	-	-	-	-	-	https://github.com/foxglove/mcap
C176	n/a	-	med	-	-	-	-	-	-	-	https://foxglove.dev/
C177	n/a	-	med	-	-	-	-	-	-	-	https://rerun.io/
C178	n/a	-	high	-	-	-	-	-	-	-	https://github.com/facontidavide/PlotJuggler
C179	partial	AMD ships rocprofiler-sdk, rocprofv3 and roctx in the ROCm core SDK, but nothing binds them to ROS 2 executor or callback tracing	med	3	3	2	2	No ROCm-aware ROS 2 tracing that correlates GPU and NPU kernel timelines with node and callback-chain latency	Robotics teams debugging end-to-end control-loop jitter on AMD accelerators	Add roctx instrumentation and a ros2_tracing/CARET analysis recipe that merges rocprofv3 traces with LTTng callback chains	https://rocm.docs.amd.com/en/latest/install/rocm.html
C180	partial	AMD Functional Safety design flow and safety-certified adaptive SoCs covering IEC 61508 and ISO 26262 at the silicon and FPGA level	med	3	2	2	2	Safety story stops at the adaptive SoC; no safety-certifiable Linux, ROCm driver or NPU runtime evidence package and no visible AMD role in ELISA	Integrators needing a certifiable Linux plus accelerator stack for SIL-rated robot compute	Join ELISA and contribute an amdgpu/ROCm kernel driver safety analysis to the workgroup evidence set	https://www.amd.com/en/products/adaptive-socs-and-fpgas/technologies/functional-safety.html
C181	partial	AMD Functional Safety certification flow for adaptive SoCs (IEC 61508, ISO 26262) gives silicon-level ASIL support but no S-CORE platform participation is visible	med	3	2	2	2	No AMD reference target or hardware abstraction contribution in the open ASIL-B software-defined-vehicle core stack that robotics middleware is converging on	Automotive-adjacent robotics vendors picking an ASIL-B compute platform for S-CORE-based stacks	Register an AMD reference board as an S-CORE supported target and contribute the hardware abstraction layer for it	https://projects.eclipse.org/projects/automotive.score
